resources_url,resources_language
https://www.geomatics.gov.nt.ca//en/nwt-state-land-map-french,french
https://www.geomatics.gov.nt.ca//en/french-et-al-2020pdf,english
https://www.geomatics.gov.nt.ca//en/mobile-core-bathurst-caribou-management-zone-gpx-file,english
https://www.geomatics.gov.nt.ca//en/mobile-core-bathurst-caribou-management-zone-map-english,english
https://www.geomatics.gov.nt.ca//en/mobile-core-bathurst-caribou-management-zone-map-french,french
https://www.geomatics.gov.nt.ca//en/mobile-core-bathurst-caribou-management-zone-map-instructions-english,english
https://www.geomatics.gov.nt.ca//en/mobile-core-bathurst-caribou-management-zone-map-instructions-french,french
https://www.geomatics.gov.nt.ca//en/mobile-core-bathurst-caribou-management-zone-kmz-file,english
