original_sector_value,hnap_sector_value,graphic_link,fgp_publish,jurisdiction
"Commission des normes, de l’équité, de la santé et de la sécurité du travail","Commission des normes, de l’équité, de la santé et de la sécurité du travail",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/cnesst.png,Oui,provincial
Destination Sherbrooke,Ville de Sherbrooke;Destination Sherbrooke,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/destination_sherbrooke.png,Oui,municipal
Eco-Compteur,no name,No url,Non,provincial
Exo,Exo,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/exo.png,Oui,provincial
Le circuit électrique,no name,No url,Non,provincial
Le Musée des beaux-arts de Montréal,Le Musée des beaux-arts de Montréal,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/mbam.png,Oui,provincial
Le Réseau de transport de la Capitale,Ville de Québec;Le Réseau de transport de la Capitale,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/rtc.png,Oui,municipal
Musée d'art contemporain de Montréal,Musée d'art contemporain de Montréal,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/mac.png,Oui,provincial
Musée d'art contemporain des Laurentides (MAC LAU),no name,No url,Non,provincial
Musée de la civilisation,Musée de la civilisation,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/musee_civilisation.png,Oui,provincial
Musée national des beaux-arts du Québec,Musée national des beaux-arts du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/mbanq.png,Oui,provincial
Société de transport de Laval,Ville de Laval;Société de transport de Laval,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/stl.png,Oui,municipal
Société de transport de Montréal,Ville de Montréal;Société de transport de Montréal,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/stm.png,Oui,municipal
