license_id_value,fgp_publish
OGL-ON-1.0,Oui
ministry-tou,Non
notspecified,Non
on-opendata-tou,Non
ontario.ca-tou,Non
other-closed,Non
other-open,Non
public-sector-sda,Non
queens-printers-on,Non
