original_value,real_value_english,real_value_french,code_value
application,application,,
cartes,web_service,,
chart,dataset,,
data,dataset,,
data_dictionary,guide,,
dataset,dataset,,
donnees,dataset,,
filter,tool,,
href,web_service,,
information,guide,,
map,geospatial_material,,
story,guide,,
support,guide,,
technical_document,dataset,,
unknown,dataset,,
unknown,dataset,,
web,website,,
