id,spatial_representation_type,,,
84246a46-2029-458a-3001-a884b77e52c1,,,,
86198c36-f381-2a52-76a8-4f716dafdf39,,,,
9c85ec9e-63bd-b72f-c9b0-b531155cd22e,,,,
33ffc1e4-065d-35f2-93e4-80d3d829d462,,,,
86a2717b-13f1-6d70-b460-e1011f177dcb,,,,
4f239a0f-a547-9097-974d-77ad953f6ddc,,,,
30e57c32-c9a9-fb04-3523-4a19fcaf0600,,,,
9b39604d-bd79-6d58-6c1f-a4598dd6dfff,,,,
1bff06cc-98e5-4e7e-e0a6-1f204a4e0054,,,,
cf7a2a77-bbb1-0116-0b2e-dbf95dc819f1,,,,
94766e03-3f92-4ba8-d329-2adb0ae4297d,,,,
eaaa6d0d-32cf-e8d7-cd2b-d750685815a8,,,,
c47dc35b-aa22-6599-4a70-e7987ee2f52a,,,,
0b4e8355-7244-8db5-0ef1-0eb4f2347d0c,,,,
d6858863-65a7-aba7-7c12-01f54f6095ca,,,,
fb9c632f-dd0b-c275-ce40-c40eb866b281,,,,
80f7d819-b75d-222e-51ee-cab52768b35d,,,,
fb9d9d41-4c33-4d8b-c340-884bde547ca3,,,,
9041d672-6817-f7ec-f83b-ea60bff4df4e,,,,
d3b5838c-706a-0459-2236-57d73cc527d2,,,,
5ad9d9b5-da24-b90c-5366-079fbb872556,,,,
7ac214d0-617b-61f6-1212-36259260489a,,,,
fa908ce7-263b-9534-88db-eaf94d1dd9cf,,,,
0fa9143b-64c8-ee80-5b3d-f0d5cdd1a5ff,,,,
e814c294-06ab-e4b6-2ed8-74bd20fe27d5,,,,
d072c8c8-68bf-de8e-6889-61dd7e874e04,,,,
e13e8ea6-afef-209d-4eb5-68ab1b41e640,,,,
f43dec60-3451-1979-c1c9-9809753bc214,,,,
311b3f0e-c562-2000-ba16-d205661104d3,,,,
de077539-84cd-96ba-8eea-66acf376f1b7,,,,
aff488e7-946a-674e-be35-e842300e115d,,,,
868883af-9e70-018a-ca4a-cf8b02578921,,,,
510a388c-fa3d-98ea-0898-740a5e801bab,,,,
6664ec28-ed38-7c30-83df-cc6e0a912d17,,,,
917a3951-ca4e-909e-cbc7-46781442007d,,,,
f809bbfd-7079-cade-c21b-3483d2cb204a,,,,
9ffae0ac-dba6-2879-3b95-214a0e5cc7a1,,,,
db073406-aba2-132a-752f-e7903076c0f5,,,,
417130cb-0835-e412-f786-bcaaf1783f8a,,,,
c5d65cb2-0d4b-8a12-9805-8c7e815e6533,,,,
8068021f-c622-120f-0fea-250d99b81495,,,,
8e03370d-260a-9ded-555a-61b955d207c1,,,,
00e90f15-2dbb-8e9b-b1d1-5557136dbebb,,,,
1cb37fe0-16cd-842f-d54b-e15bdc2c2231,,,,
cd6564a7-0ca7-7669-fe93-1ee23b071c30,,,,
368ee7ea-d061-f614-7299-b10d9ba174c6,,,,
52f05f76-b474-e374-9b30-b11cacea8121,,,,
