format,url,titlepart
GEOJSON,($DOMAIN$)/api/geospatial/($ID$)?method=export&format=GeoJSON,Geojson
SHP,($DOMAIN$)/api/geospatial/($ID$)?method=export&format=Shapefile,Shapefile
KML,($DOMAIN$)/api/geospatial/($ID$)?method=export&format=KML,KML
KMZ,($DOMAIN$)/api/geospatial/($ID$)?method=export&format=KMZ,KMZ
