original_value,TBS_value,C
other,other,
pdf,PDF,
txt,TXT,
xml,XML,
zip,ZIP,
xlsx,XLSX,
docx,DOCX,
xls,XLS,
csv,CSV,
html,HTML,
doc,DOC,
application/msaccess,other,
