original_sector_value,hnap_sector_value,graphic_link,fgp_publish,jurisdiction
"Ministère de l'Agriculture, des Pêcheries et de l'Alimentation","Ministère de l'Agriculture, des Pêcheries et de l'Alimentation",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de l'Économie et de l'Innovation,Ministère de l'Économie et de l'Innovation,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
"Ministère de l'Économie, de l'Innovation et de l'Énergie","Ministère de l'Économie, de l'Innovation et de l'Énergie",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de l'Éducation et de l'Enseignement supérieur,Ministère de l'Éducation et de l'Enseignement supérieur,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de l'Éducation et Ministère de l'Enseignement supérieur,Ministère de l'Éducation et Ministère de l'Enseignement supérieur,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de l'Emploi et de la Solidarité sociale,Ministère de l'Emploi et de la Solidarité sociale,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de l'Énergie et des Ressources naturelles,Ministère de l'Énergie et des Ressources naturelles,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de l’Environnement et de la Lutte contre les changements climatiques,Ministère de l’Environnement et de la Lutte contre les changements climatiques,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
"Ministère de l’Environnement, Lutte contre les changements climatiques, Faune et Parcs","Ministère de l’Environnement, Lutte contre les changements climatiques, Faune et Parcs",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
"Ministère de l’Immigration, de la Diversité et de l’Inclusion","Ministère de l’Immigration, de la Diversité et de l’Inclusion",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
"Ministère de l’Immigration, de la Francisation et de l’Intégration","Ministère de l’Immigration, de la Francisation et de l’Intégration",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère des Affaires municipales et de l'Habitation,Ministère des Affaires municipales et de l'Habitation,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
