original_value,real_value_english,real_value_french,code_value
unknown,dataset,,
application,application,,
data,dataset,,
technical_document,dataset,,
data_dictionary,guide,,
information,guide,,
cartes,web_service,,
web,website,,
donnees,dataset,,
support,guide,,
unknown,dataset,,
