province,code
British-Columbia,BC
Alberta,AB
Ontario,ON
Québec,QC
New-Brunswick,NB
Nova-Scotia,NS
Prince Edward Island,PEI
Yukon,YT
Saskatchewan,SK
Manitoba,MB
