original_value,real_value_english
EPSG_3005 - NAD83 BC Albers,EPSG:3005
EPSG_4326 - WGS84 - World Geodetic System 1984,EPSG:4326
EPSG_4269 - NAD83,EPSG:4269
EPSG_26707 - NAD27 UTM zone 7N,EPSG:26707
N-A,unknown
EPSG: 3400,EPSG:3400
EPSG: 3401,EPSG:3401
EPSG: 4326,EPSG:4326
EPSG:4269,EPSG:4269
EPSG:3400,EPSG:3400
3400,EPSG:3400
3401,EPSG:3401
4326,EPSG:4326
26912,EPSG:26912
GCS_North_American_1983,EPSG:4269
1198,EPSG:1198
EPSG,unknown
0,unknown
3578,EPSG:3578
unknown,unknown
