source_date_extent,data_collection_start_date,data_collection_end_date
1962-07-20/4/1/2021,1962-07-20,2021-04-01
1980-01-01/4/1/2021,1980-01-01,2021-04-01
2013-01-01/2021-31-12,2013-01-01,2021-12-31
