Inventory CSV,Number of Results
Alberta_GeoDiscover_results.csv,42
Alberta_InteractiveMaps_results.csv,5
Alberta_MapServices_results.csv,3186
Alberta_OpenData_Geo_results.csv,1
Alberta_OpenData_Other_results.csv,35
Province Total,3269
