Inventory CSV,Number of Results
Saskatchewan_Maps_results.csv,8
Saskatchewan_Municipal_Maps_results.csv,10
Saskatchewan_Municipal_Services_results.csv,1319
Saskatchewan_Municipal_Webpages_results.csv,173
Saskatchewan_Organizations_Webpages_results.csv,35
Saskatchewan_Organization_Maps_results.csv,6
Saskatchewan_Organization_Services_results.csv,192
Saskatchewan_Services_results.csv,4003
Saskatchewan_Webpages_results.csv,7
Province Total,5753
