original_value,real_value_english,real_value_french,code_value
vector,vector,vecteur,RI_635
grid,grid,grille,RI_636
textTable,textTable,texteTable,ri_637
tin,tin,tin,RI_638
stereoModel,stereoModel,stéréomodèle,RI_639
video,video,vidéo,RI_640
