original_value,real_value_english
001,Continual
002,Daily
003,Weekly
004,Fortnightly
005,Monthly
006,Quarterly
007,Biannually
008,Annually
009,AsNeeded
010,Irregular
011,NotPlanned
012,Unknown
013,Semimonthly
