Inventory CSV,Number of Results
Nova_Scotia_Catalogue_results.csv,15
Nova_Scotia_DataDirectory_results.csv,51
Nova_Scotia_MapServices_results.csv,3866
Nova_Scotia_NATR_GIS_results.csv,201
Nova_Scotia_NATR_results.csv,330
Province Total,4463
