uuid,spatial_representation_type
8917af7b-f3fc-4e03-8862-62956996bd0b,vector
c6b75d6c-a37c-4672-9c51-355961d390e8,vector
9ec86937-b662-449e-b956-00c1e126843e,vector
9fcc69e3-8f80-44f3-99ad-0e04cb9fa52d,vector
de18eee8-8e66-4dcb-8e07-ce8e1a2b02de,vector
0cca68e7-50b1-4f4c-a28b-0e5ce9d73278,vector
09a6f1c7-2f48-40dd-9a44-e4df72d35c4c,vector
c22d3bd9-a307-4666-be26-ebc82890ce62,vector
ac50baf2-17cf-427a-9fb2-b5b42ec30bb3,vector
5b75978f-02b9-457b-9dd4-71f0927bf7dc,vector
1e1a6668-3a97-43ba-9875-f2ea6d4deb89,vector
a7ed08c3-3479-41e8-8a24-583297cbc437,vector
477cfc3c-f2af-4e50-a2ec-18015606e5fb,vector
ea19e0a1-a8f7-4299-829e-1faf19540716,vector
105168de-7be4-41f4-9151-276a4ed32b27,vector
c945505f-abbb-43fa-a4a4-21d75d909267,vector
54e0c9a6-901e-4822-80d3-f13b2643325b,vector
b087a10e-e05f-489f-93f7-6041ed3c05e5,vector
1a7a8fde-9f0b-489d-bf9b-d3bbccabe3d9,vector
1d2a66d0-8ed7-4fc9-a0dd-f56776cf0cc2,vector
8d3703d0-bcae-4a43-bf98-19048366e18f,vector
4fc9253b-8f15-4532-a81e-bf101c2b85c3,vector
455c6d66-a9a7-4573-96a0-3558f79c7db7,vector
01ba2307-9d42-41bf-9294-1d35e8a17d29,vector
247c54ab-84de-4ccd-a6bd-467d712dbb00,vector
360cbecd-1311-4114-a91f-c6c1f89a1db5,vector
54fadab1-ceab-4de3-b46f-127e39294173,textTable
566fd379-3023-41c6-97f0-9f71fa86ec0c,vector
33f2b471-1c9a-4fa8-bfe5-7733e03596fd,vector
43c3c4ef-7ffd-4f7d-a0bf-d1dab1ea9893,vector
de88a421-37a1-4dca-86fa-230d408f3ee0,vector
a9567e71-545f-444c-9ff0-9412ef8a098b,vector
b1a97948-778d-4331-b202-762cff17f2b8,vector
30aeb5c1-4285-46c8-b60b-15b1a6f4258b,vector
d08b2795-d192-4377-8056-eccef50296e6,vector
f8fab2b4-2a8d-43fd-9c8b-2fe67149248f,vector
4a83ec61-31a4-4134-9204-af47ff26ed78,vector
450b67bb-02d5-4526-8bc0-ac7924125a1e,vector
36afb87d-58e7-4f05-b790-200ea849a8c2,vector
b9be5dca-f5a1-46bd-8ad0-67a10c294f3e,vector
71135871-a3f1-408f-bd34-21cd481fa4c8,vector
481d6d4d-a536-4df9-9e9c-7473cd2ed89e,vector
abc6a37f-72a2-47c3-9624-f8f535e84774,vector
078c2451-40ec-4416-9e7e-9a28a131ba23,vector
