format,url,titlepart,spatial_type
CSV,https://($DOMAIN$)/api/views/($ID$)/rows.csv?accessType=DOWNLOAD,CSV,c-textTable
CSV,https://($DOMAIN$)/api/views/($ID$)/rows.csv?accessType=DOWNLOAD&bom=true&format=true,CSV Excel,c-textTable
CSV,https://($DOMAIN$)/api/views/($ID$)/rows.csv?accessType=DOWNLOAD&bom=true&format=true&delimiter=%3B,CSV Excel (EU),c-textTable
TSV,https://($DOMAIN$)/api/views/($ID$)/rows.tsv?accessType=DOWNLOAD&bom=true&format=true&delimiter=%3B,TSV,c-textTable
RDF,https://($DOMAIN$)/api/views/($ID$)/rows.rdf?accessType=DOWNLOAD,RDF,c-textTable
RSS,https://($DOMAIN$)/api/views/($ID$)/rows.rss?accessType=DOWNLOAD,RSS,c-textTable
XML,https://($DOMAIN$)/api/views/($ID$)/rows.xml?accessType=DOWNLOAD,XML,c-textTable
