uuid,spatial_representation_type
92a5ddf2-b5fb-4ab6-73bd-ee413e7ab74b,vector
6a3a8157-4ca6-6526-6733-81275cb755c0,vector
88899ccc-dc91-1d67-e0aa-e4f94c54ee26,vector
8aab5e6e-6a02-3371-c206-ed1f0f9d7c85,vector
a9a50ea6-30d1-e0db-bc2b-68a38ab5a53b,grid
0a14b357-8a89-6e98-720e-3a800022cb99,grid
b2c94ce9-ac94-3904-f877-a490ad29e315,vector
bc51fccf-5e8f-9ef5-b633-873d5668bf4a,vector
3b95baac-8b6f-0574-030b-13413c86c841,vector
5a719063-c0ad-2584-b1f9-04e803e6d03d,grid
cdb31a27-f40b-952a-8ee7-165ebb3e41ea,vector
68f867d4-af2e-df96-7dd3-672dafeb79cf,vector
c4a1037c-cf9e-491a-2e3f-70cf13ee29a2,vector
cdb26493-3731-326b-ac89-077dda76a6f4,vector
c40b6897-cb5a-0fd2-13e1-9c1af95c873f,vector
86d3ac53-60dc-0cbf-557a-249642376698,vector
21a3028e-71c7-0a55-a8e1-03c0c2d2f9ae,vector
88abe8bf-6c54-c74b-0a4a-0d2b0898bd59,vector
001c30bd-0869-22a7-ef10-2284e8f9b560,vector
c9645a5d-83ff-cc37-ca56-7dbf7cf93719,vector
737e7a63-4845-5f50-4253-2ed152f73e6d,vector
5c255ec5-a7ca-2ad0-18c1-00427318d354,vector
567ab4f4-a0f7-32e0-a2d2-36ae95ec8713,vector
2c4e6901-b51e-7fe4-7bcd-8777761cdc12,vector
46e01a13-332e-06a3-42c2-6150effbaa95,vector
0bbb1051-b8a7-591a-5961-a4350ec0001c,vector
05d515f6-435a-64b1-2f64-3d7a1e5b247d,vector
1871594f-2f70-370e-1e43-3057bf3cb887,vector
9b77e4f1-0870-068b-e8a0-f5629d549ec5,vector
646a28eb-bf47-abcb-f500-09801a83af7b,vector
4f37e9e4-fc77-df46-6dab-b459f8d30bf1,vector
b0d96d4f-0728-a0e6-ac85-0be70b8fae90,vector
6e0f5d0c-90e8-a669-af98-e89b567065cc,vector
46a6fa7c-69bb-8be9-cb52-65163806191d,vector
e4d63d01-1e06-bb7b-1b49-ca6a88bf771b,vector
efb8ffa9-84c6-f6e0-d95f-3a6215dd3127,vector
53afd4ab-e1eb-4027-2df3-2f9008f1df89,vector
db7ce925-2dac-9c04-0dde-e8c83082b9ec,vector
7d4899c3-1b47-2641-f8cc-f83498c60241,vector
55605722-4da6-c67c-e48e-4ca64b379d10,vector
30ff3590-d811-9217-c546-846d44ffe930,vector
9585b967-aa6a-9a3c-e48a-99a84ad2e25f,vector
53422faa-c0df-ff97-6925-0eb78a74b5ad,vector
c419b748-e095-e959-20d3-504c7ddbf1d2,vector
1ab8f1a1-f997-bb76-2e8f-ad765271f856,vector
672f5458-4215-34f9-53be-0e28dfe28375,vector
a98532fe-2953-28b4-d92c-eee27003f9be,vector
096c89a2-8668-14b1-f623-78f295712ea1,vector
ae311dbf-abc8-c8e2-454c-3ac14bd39aff,vector
03ab6538-8250-8d12-949f-8136ee8c0d81,vector
ebdd9e1d-207e-891a-709e-8d5a1d307e8c,vector
6b0c509f-71ce-0640-efd3-2ec32bf80b64,vector
b1eda055-c98d-29f4-adae-12838be08178,vector
bce500b5-a149-3b72-980b-eb338ebeea78,vector
11e4c1c2-58ed-923e-ab6b-cfd65499c6b8,vector
ee9d29cd-845c-7b1d-a815-9afb82cd5f64,vector
160fbce6-cc4f-5134-ae6e-245ec5ea99b8,vector
cff6b887-b8a5-3751-2e43-f6e960066f67,vector
1f68f30a-58a3-2edc-f9e1-48750f821218,vector
e9dcd52a-c938-da7c-def1-5145f49bf0c7,vector
f2664c4e-2695-d7e7-34eb-6a0a6896e808,vector
3fb5083e-25fb-1197-577c-2cf27fe29054,vector
85fce8c6-f16f-b095-b51b-269aed3e95b5,vector
81161cbd-2088-6606-55dc-0f3ffb51ccb1,vector
875ce19a-a622-7180-5837-c510b84ea5ac,vector
9622d9f0-5465-d8f5-43c1-fa7e322e23d1,vector
ba6a29e2-77d8-233d-75a6-2841edbf82d8,vector
0f5d77b5-b650-940d-478b-72f4d136ee53,vector
c3ee66ab-1113-6836-e598-af68ec25875d,vector
cb0ea3f2-92b4-8f60-9a3f-0528b103dc77,vector
8c11e90e-d48e-05bf-ec2c-4447b2b2a6f1,vector
275fa885-56b3-e337-d237-c3969b0ef8ab,vector
dada8413-18bd-e93f-6890-4a70e4bee52b,vector
e20acbc3-72f7-e7b1-ff4b-24e5a6c608fc,vector
7a79a4fe-803b-396b-988a-8d0e2f961d98,vector
3c4bd1b2-84f0-be93-fcbd-89a1f6fcb05c,vector
b412658c-423a-4e81-aeb9-b21c0bb61631,vector
00728590-5adb-6383-e61e-c634bae2bd3a,vector
335cd41a-c122-ba10-5ebd-5987906cbd15,vector
da4a4a56-db3b-33e5-dbfc-ecc5a204d39a,vector
817cafea-a1de-0f21-2d4b-b7c09748ce65,vector
598fc49d-85c3-9a9a-a564-72672ddff55a,vector
