license_id_value,fgp_publish
/open-government-licence-yukon,Oui
https://open.yukon.ca/data/datasets/designated-historic-sites-yukon,Non
https://open.yukon.ca/data/datasets/yukon-community-recreation-planning-toolkit,Non
