original_value,real_value_english
alaska highway north (combined census subdivisions of beaver creek; burwash landing; champagne landing; destruction bay; and haines junction),alaska highway north (combined census subdivisions)
watson lake region (combined census subdivisions of: two and one-half mile village; two mile village; upper liard; and watson lake),watson lake region (combined census subdivisions)
