id,spatial_representation_type
261a0067-1b13-f4b2-e4a0-d44f79590faa,
fa3b9891-b1a7-6ddf-b79f-ee67e68f5cd0,grid
0dd818b3-3045-090b-0ed0-72794d95a83c,
5176791b-98f8-fca3-8259-815231d0c20c,
e3e50419-e6fc-43d6-2773-74218b42f851,
43725280-fbec-5c7c-98eb-e221efe97061,
c90947e9-906b-b6fb-f55f-5f459ebefc19,
31056691-be33-a15e-e4de-5681415b6455,
6d9cd85c-a89e-272a-623f-c5d302d9b822,
15df35e1-75bc-e5ff-8851-728bef7cb37d,
16b65d54-428e-97a6-993b-6106c292a891,
788e559c-daf0-6561-8938-a9f2ec1a2ffe,
343d2f8b-f000-4a37-98d5-ec365b58dd34,
b2ce5554-7d79-15e4-cd5f-207dd13aa32d,
da8e7c5c-d98f-da62-bdc7-653608fc50ca,
4da9d8d4-ba65-f9eb-41d8-fbca5e6471b9,
335ef524-8acf-4b94-3e71-b9b4dcbfd56c,
2b372a7c-938a-3302-7e0f-493a8f844f7c,
5e126b97-93ae-ad88-0632-8d7eab5598da,
2b6bbd7a-82e3-0b4f-f727-e148b197f83c,
2f8faaf7-3f3a-6839-a428-c853e7a41ab5,
ddaa47a4-5799-eda0-a1a0-47f57ddaddab,
e6655bf8-b098-a3e0-76f1-6f4a8cb30f73,
c11ce771-c9fc-a3db-6e71-7891424a43e4,
8005f9dd-476b-591c-ddd0-9def8d17182d,
11ccb760-774e-aca9-131a-574ef6046cc2,
e477be0b-b83c-8bee-aa75-dd47d6869569,
81c1a9a2-d573-c6c9-a647-e9b9af231629,
70b941c0-7dde-a37c-6ac2-d0b418f9c681,
d608768b-80d1-351e-4a7e-d9660c4b95ee,
42426cef-d5c5-7052-6391-88f4c6c23b0e,
2edb6b9e-fe11-e3ed-f7b4-00f5eb50e76e,
02a38e5a-63df-c4ec-f141-a56528517949,
dd026287-cd46-457d-c6f3-7608a919bf83,
f1d12af5-7c04-b682-585c-5135cf01591f,
d6a30b0a-a980-04ea-c0b6-618a95c63f37,
771f84fe-0942-6a27-c3c8-23bfdf706d29,
97eb8b14-d7c6-d65b-6191-11aa9ff3b00d,
71672ae1-6f9d-cb1f-6326-00507a743208,
2b7925ad-4a27-9cdc-3ebd-edf83a3ab3fb,
8b01c382-b87c-1088-8741-c58811535d43,
7b1a6673-6477-8e01-cce0-c0530ed7b2f2,
db71c4dd-0c59-7111-f9d7-df346bc7d8cc,
775c4fe8-7869-4f3e-84f2-a92d0dee78a9,
135083a4-6da5-663a-3f70-fdc8ace01647,
e7a4b424-a094-8046-8850-8ac9d355ee9d,
a3a34cfc-a7f4-2188-9ebb-03b2210b9e7d,
709e61fd-d1f2-ccc6-af4c-305936266826,
006c85c7-4ba7-c834-6d76-73514f5e8473,
82f29895-e470-fb12-5c11-94caf1a37f01,
aef7f781-7ff0-fd38-3bce-4909bbb1bdbc,
b3e0d267-0599-91be-1b9b-2db9635e5685,
9e0ea414-1e3a-2468-9603-a5af84782737,
22b1decc-ecbc-af26-b019-6330ea64aac4,
8821fa39-8047-6a64-dc04-9cc8c3073a16,
26587867-d2d1-a585-8411-ef6f43087252,
445fae0f-58b0-df34-1e9f-477fde98fce4,
dde9f747-a59a-a728-1f57-3477ead556f9,
d223e2de-2c9a-4ac9-1d4f-07516c296adc,
ce82bd75-87f2-2054-78f5-399eb9614c08,
6b62e604-cab9-ff19-0b4b-209fc113c576,
97db7487-e475-e07b-17c5-9c73c7cd0c34,
3752e051-aa2f-65ab-5c23-dfcf53117ac1,
be845227-3a7d-2a70-ea6b-8a83ee817007,
0c7a59c6-ee79-6c51-a67d-53e70d442ada,
6ec351d3-7bb2-0cf4-8f0d-659a95329330,
d3d99f26-4fcc-d9ab-463d-a2dfb85073f6,
4805abff-4aa9-957e-cb16-47b62d487dda,
189853a0-c8cf-f7f1-01d9-70bec187e9d9,
e6d15024-0f48-4c7c-00ce-e57f0824d013,
999f7287-749b-77d6-0e9b-a0b2917195bb,
d6260960-c615-45b3-941a-706a38aff42c,
ffb3b8f8-7009-a6ed-6465-2a47178e2728,
2d228ae5-dc9a-c8ab-5db0-266f9f17b407,
39630f09-2d83-4abf-3887-37f0aea483fe,
da9e87d7-104f-89a4-cb19-bb9468894bf6,
6ab131df-049e-2111-4fb6-86a0e494f13d,
5939b50a-3a76-21fc-e61a-58e498c04e07,
bfdfac6f-5d66-92c4-8ee8-b2ba8d869291,
5582be11-4d18-ad7f-e69f-730f11a59d24,
addffb5a-d477-cd11-19fa-72a86c4569a7,
054cf636-6637-2508-9aef-0f9139734f4a,
420e04d4-0cfd-88bd-5fcc-9a10c192a281,
7d8837b1-97a8-1fde-286c-5720b97f9246,
3b55e585-c0f3-25ab-289c-b99383b310b4,
116b0beb-8af2-bafe-0d5b-5011e8d48717,
ee93e284-b718-b27e-66bc-bddf40f604be,textTable
83f4c8a1-46b0-4eae-88f4-f1e29a6f20c8,
254e0ef9-f00f-b496-cd6f-3df77b731219,
332b1fdb-eae1-1f3f-fd03-555529a67334,
ace67e9e-5e65-25ee-5b37-cc204ea04851,
4df3496e-5374-29c9-0c1b-cf8e88136be1,
a2e43980-e1a9-d13f-6540-4bfb53a10e78,
6ed509af-cffe-3465-54c9-dec8249010ae,
f1188cda-2bf7-ea92-f779-cdbad1631ef0,
42b46b3f-ef2e-c026-f178-09e4b5f3da1b,
4b4de792-dde1-9499-f33e-6fc842e9892a,
f86d1108-da7e-dd18-10a8-885cefc69d72,
5d75ae5a-b3f4-6f74-4d96-eeadf43b56a7,
be4ef617-5124-7410-7b2e-f27a224f459b,
de167eb4-9fde-8351-08ee-0cc3d78cda08,
e4e163b0-8243-1e3f-453d-250650232678,
5fda6aa2-2f20-1612-c24d-fd65528abee0,
799375b5-01d9-be89-8c00-06a13ed27b82,
2d62317e-dae4-525c-d5a9-bcdc6a6cf620,
c282ccd8-2421-661d-ed4f-a4151e743967,
b9904ccc-d9d9-770d-b975-345eadd435ee,
2f581ba1-a8ba-e480-f046-34804447c957,
c6ded5bf-73df-1dfb-1625-e64a320012f2,
03555e3b-fa7d-1bd4-5438-7aed7fe53a23,
171dfe24-08b9-004e-9df6-bc253ba6e801,
e532906a-e884-04af-11e6-10da1d1985a6,
5549d36e-7583-d00e-6756-a37b3eac7be8,
9eebbba4-1422-b609-3e89-76f18aa33f65,
e179117d-8381-5e6a-0f3f-c1e4bc662d1c,
c2a98fd3-bd76-17b6-3deb-ea36cf98ef35,
72f7c365-a302-65cc-e7bb-f250481d90a5,
0e362e73-b246-5c0f-ceca-8f7b5eabc40a,
a839bfb9-c67d-58d1-368f-99c1e39dd866,
e9c8f5b3-2ec1-322f-32b9-dd870325a7f4,
de9b8ae9-19a0-ceb1-a9bc-ba8bc58d084e,
7c7f05d6-dbde-b638-b603-9f593b05b7a4,
9a178385-a187-d8c3-3d56-d94b849a91cd,
5ba48d42-c3f5-e630-55fb-26375dcb07d3,
12006d46-b60c-0443-3408-d1cc2dfd2ffa,
68beafe3-51b6-996b-d658-416c7117dffa,
aeafa061-890a-32c9-26c2-00d73981819d,
04a0886d-7cf7-4b25-3e3c-dade1a538ab7,
fb0acc28-3416-de86-cee1-10a82287512b,
d6546eaa-50dc-c0b7-078c-73500f0295b3,
26118fe2-51dc-672e-ed35-203ff3107a1c,
ba773ce4-6656-74bc-af27-1b3b8341931a,
b3d921b4-8c9d-6b29-d161-14373892c21a,
19a2e3fe-8310-dcf3-90d6-09fabf293291,
2d603161-2726-5d4a-6a27-5f420b81afe1,
e3afc43f-09f2-f526-3185-bf28775e464a,
820a29bd-a1c0-5d29-2960-e997ff4356ae,
ea4e0fd9-2466-8683-3d0f-9e2ee7d8ceb7,
e9f1e044-bb29-1a40-4908-d3cd570dde03,
3f5c125a-9c07-c639-dc31-518de8c91738,
91b38d62-d99f-acb5-3870-0261434e8198,
860a8a80-79c9-48dd-c882-c94d2ad00174,
0e8f68b0-0ba8-fd51-ea31-e6f5ee6c81a5,
aaedfa44-8845-1563-e3bc-e540184d4580,
1d6421b4-49fe-c723-a2cf-7a9c1acde219,
ef6a8657-1654-e027-a141-12903df062ec,
