Inventory CSV,Number of Results
NL_Catalogue_results.csv,12
NL_Maps_results.csv,22
NL_Municipal_Gander_results.csv,23
NL_Municipal_LabradorCity_results.csv,20
NL_Other_IceFinder_results.csv,2
NL_Services_results.csv,859
NL_Webpages_results.csv,44
Province Total,982
