Inventory CSV,Number of Results
Yukon_ArcGIS_Hub_results.csv,311
Yukon_CSW_results.csv,324
Yukon_EMR_ENV_results.csv,47
Yukon_FTP_results.csv,593
Yukon_GeoPortal_results.csv,324
Yukon_InteractiveMaps_results.csv,42
Yukon_LandUsePlan_results.csv,8
Yukon_Services_results.csv,3759
Yukon_YGSLinks_results.csv,19
Province Total,5427
