Inventory CSV,Number of Results
BC_ArcGISMaps_results.csv,20
BC_Catalogue_Geographic_results.csv,2062
BC_Catalogue_None_results.csv,3596
BC_FTP_results.csv,17
BC_Maps_Environmental_results.csv,23
BC_Maps_Industry_results.csv,7
BC_Maps_Misc_results.csv,85
BC_Maps_Transpo_results.csv,3
BC_Services_results.csv,1537
BC_Webpages_results.csv,6
Province Total,7356
